ID,cluster,time
20070502070072,Cluster 1  |  n = 1215,t1
20080504080872,Cluster 1  |  n = 1633,t2
20080504080879,Cluster 1  |  n = 1633,t2
20080504080880,Cluster 2  |  n = 1298,t2
20080504080891,Cluster 3  |  n = 395,t2
20080504080895,Cluster 2  |  n = 1298,t2
20080504080902,Cluster 2  |  n = 1298,t2
20080504080925,Cluster 2  |  n = 1298,t2
20080504080929,Cluster 3  |  n = 395,t2
20080504080934,Cluster 1  |  n = 1633,t2
20080504080936,Cluster 2  |  n = 1298,t2
20080504080943,Cluster 2  |  n = 1298,t2
20080504080952,Cluster 2  |  n = 1298,t2
20080504080957,Cluster 1  |  n = 1633,t2
20080504080969,Cluster 3  |  n = 395,t2
20080504080972,Cluster 1  |  n = 1633,t2
20080504080975,Cluster 2  |  n = 1298,t2
20080504080976,Cluster 2  |  n = 1298,t2
20080504080993,Cluster 2  |  n = 1298,t2
20080504080995,Cluster 2  |  n = 1298,t2
20080504080997,Cluster 3  |  n = 395,t2
20080504081001,Cluster 1  |  n = 1633,t2
20080504081013,Cluster 1  |  n = 1633,t2
20080504081014,Cluster 1  |  n = 1633,t2
20080504081025,Cluster 1  |  n = 1633,t2
20080504081029,Cluster 2  |  n = 1298,t2
20080504081031,Cluster 2  |  n = 1298,t2
20080504081032,Cluster 2  |  n = 1298,t2
20080504081046,Cluster 1  |  n = 1633,t2
20080504081047,Cluster 2  |  n = 1298,t2
20080504081055,Cluster 1  |  n = 1633,t2
20080504081065,Cluster 2  |  n = 1298,t2
20080504081073,Cluster 2  |  n = 1298,t2
20080504081077,Cluster 1  |  n = 1633,t2
20080504081078,Cluster 3  |  n = 395,t2
20080504081093,Cluster 1  |  n = 1633,t2
20080504081098,Cluster 1  |  n = 1633,t2
20080504081102,Cluster 1  |  n = 1633,t2
20080504081125,Cluster 2  |  n = 1298,t2
20080504081129,Cluster 2  |  n = 1298,t2
20080504081133,Cluster 2  |  n = 1298,t2
20080504081138,Cluster 1  |  n = 1633,t2
20080504081144,Cluster 1  |  n = 1633,t2
20080504081156,Cluster 1  |  n = 1633,t2
20080504081169,Cluster 2  |  n = 1298,t2
20080504081174,Cluster 1  |  n = 1633,t2
20080504081185,Cluster 2  |  n = 1298,t2
20080504081197,Cluster 1  |  n = 1633,t2
20080504081201,Cluster 2  |  n = 1298,t2
20080504081204,Cluster 2  |  n = 1298,t2
20080504081208,Cluster 1  |  n = 1633,t2
20080504081222,Cluster 2  |  n = 1298,t2
20080504081229,Cluster 2  |  n = 1298,t2
20080504081233,Cluster 1  |  n = 1633,t2
20080504081246,Cluster 3  |  n = 395,t2
20080504081253,Cluster 1  |  n = 1633,t2
20080504081258,Cluster 1  |  n = 1633,t2
20080504081275,Cluster 2  |  n = 1298,t2
20080504081276,Cluster 1  |  n = 1633,t2
20080504081279,Cluster 1  |  n = 1633,t2
20080504081294,Cluster 3  |  n = 395,t2
20080504081302,Cluster 1  |  n = 1633,t2
20080504081326,Cluster 1  |  n = 1633,t2
20080504081332,Cluster 1  |  n = 1633,t2
20080504081338,Cluster 2  |  n = 1298,t2
20080504081339,Cluster 1  |  n = 1633,t2
20080504081358,Cluster 1  |  n = 1633,t2
20080504081360,Cluster 1  |  n = 1633,t2
20080504081373,Cluster 3  |  n = 395,t2
20080504081377,Cluster 2  |  n = 1298,t2
20080504081390,Cluster 3  |  n = 395,t2
20080504081393,Cluster 3  |  n = 395,t2
20080504081400,Cluster 2  |  n = 1298,t2
20080504081409,Cluster 3  |  n = 395,t2
20080504081415,Cluster 2  |  n = 1298,t2
20080504081420,Cluster 1  |  n = 1633,t2
20080504081421,Cluster 1  |  n = 1633,t2
20080504081425,Cluster 1  |  n = 1633,t2
20080504081426,Cluster 2  |  n = 1298,t2
20080504081430,Cluster 2  |  n = 1298,t2
20080504081432,Cluster 1  |  n = 1633,t2
20080504081438,Cluster 2  |  n = 1298,t2
20080504081446,Cluster 2  |  n = 1298,t2
20080504081450,Cluster 1  |  n = 1633,t2
20080504081454,Cluster 2  |  n = 1298,t2
20080504081455,Cluster 3  |  n = 395,t2
20080504081465,Cluster 1  |  n = 1633,t2
20080504081475,Cluster 2  |  n = 1298,t2
20080504081490,Cluster 1  |  n = 1633,t2
20080504081493,Cluster 1  |  n = 1633,t2
20080504081494,Cluster 1  |  n = 1633,t2
20080504081508,Cluster 2  |  n = 1298,t2
20080504081515,Cluster 1  |  n = 1633,t2
20080504081519,Cluster 1  |  n = 1633,t2
20080504081532,Cluster 2  |  n = 1298,t2
20080504081537,Cluster 1  |  n = 1633,t2
20080504081551,Cluster 2  |  n = 1298,t2
20080504081563,Cluster 2  |  n = 1298,t2
20080504081576,Cluster 3  |  n = 395,t2
20080504081582,Cluster 1  |  n = 1633,t2
20080504081584,Cluster 2  |  n = 1298,t2
20080504081593,Cluster 1  |  n = 1633,t2
20080504081599,Cluster 1  |  n = 1633,t2
20080504081600,Cluster 1  |  n = 1633,t2
20080504081602,Cluster 3  |  n = 395,t2
20080504081605,Cluster 1  |  n = 1633,t2
20080504081617,Cluster 2  |  n = 1298,t2
20080504081633,Cluster 3  |  n = 395,t2
20080504081642,Cluster 2  |  n = 1298,t2
20080504081651,Cluster 1  |  n = 1633,t2
20080504081673,Cluster 1  |  n = 1633,t2
20080504081675,Cluster 2  |  n = 1298,t2
20080504081679,Cluster 1  |  n = 1633,t2
20080504081680,Cluster 1  |  n = 1633,t2
20080504081684,Cluster 2  |  n = 1298,t2
20080504081688,Cluster 1  |  n = 1633,t2
20080504081702,Cluster 1  |  n = 1633,t2
20080504081703,Cluster 2  |  n = 1298,t2
20080504081708,Cluster 1  |  n = 1633,t2
20080504081710,Cluster 1  |  n = 1633,t2
20080504081716,Cluster 1  |  n = 1633,t2
20080504081720,Cluster 3  |  n = 395,t2
20080504081737,Cluster 1  |  n = 1633,t2
20080504081740,Cluster 2  |  n = 1298,t2
20080504081753,Cluster 3  |  n = 395,t2
20080504081759,Cluster 1  |  n = 1633,t2
20080504081761,Cluster 3  |  n = 395,t2
20080504081767,Cluster 1  |  n = 1633,t2
20080504081768,Cluster 3  |  n = 395,t2
20080504081773,Cluster 1  |  n = 1633,t2
20080504081778,Cluster 2  |  n = 1298,t2
20080504081782,Cluster 1  |  n = 1633,t2
20080504081793,Cluster 1  |  n = 1633,t2
20080504081795,Cluster 1  |  n = 1633,t2
20080504081802,Cluster 1  |  n = 1633,t2
20080504081805,Cluster 2  |  n = 1298,t2
20080504081806,Cluster 2  |  n = 1298,t2
20080504081817,Cluster 1  |  n = 1633,t2
20080504081827,Cluster 1  |  n = 1633,t2
20080504081829,Cluster 1  |  n = 1633,t2
20080504081833,Cluster 1  |  n = 1633,t2
20080504081845,Cluster 2  |  n = 1298,t2
20080504081848,Cluster 3  |  n = 395,t2
20080504081861,Cluster 1  |  n = 1633,t2
20080504081863,Cluster 1  |  n = 1633,t2
20080504081865,Cluster 1  |  n = 1633,t2
20080504081870,Cluster 2  |  n = 1298,t2
20080504081872,Cluster 1  |  n = 1633,t2
20080504081886,Cluster 3  |  n = 395,t2
20080504081888,Cluster 1  |  n = 1633,t2
20080504081902,Cluster 1  |  n = 1633,t2
20080504081908,Cluster 1  |  n = 1633,t2
20080504081916,Cluster 2  |  n = 1298,t2
20080504081926,Cluster 1  |  n = 1633,t2
20080504081946,Cluster 2  |  n = 1298,t2
20080504081947,Cluster 1  |  n = 1633,t2
20080504081950,Cluster 2  |  n = 1298,t2
20080504081958,Cluster 1  |  n = 1633,t2
20080504081977,Cluster 2  |  n = 1298,t2
20080504081990,Cluster 3  |  n = 395,t2
20080504082003,Cluster 1  |  n = 1633,t2
20080504082006,Cluster 2  |  n = 1298,t2
20080504082007,Cluster 2  |  n = 1298,t2
20080504082012,Cluster 1  |  n = 1633,t2
20080504082016,Cluster 3  |  n = 395,t2
20080504082020,Cluster 3  |  n = 395,t2
20080504082024,Cluster 2  |  n = 1298,t2
20080504082030,Cluster 3  |  n = 395,t2
20080504082037,Cluster 3  |  n = 395,t2
20080504082043,Cluster 3  |  n = 395,t2
20080504082072,Cluster 3  |  n = 395,t2
20080504082075,Cluster 1  |  n = 1633,t2
20080504082076,Cluster 2  |  n = 1298,t2
20080504082077,Cluster 2  |  n = 1298,t2
20080504082078,Cluster 3  |  n = 395,t2
20080504082095,Cluster 1  |  n = 1633,t2
20080504082110,Cluster 2  |  n = 1298,t2
20080504082115,Cluster 1  |  n = 1633,t2
20080504082117,Cluster 1  |  n = 1633,t2
20080504082122,Cluster 3  |  n = 395,t2
20080504082123,Cluster 2  |  n = 1298,t2
20080504082135,Cluster 2  |  n = 1298,t2
20080504082136,Cluster 2  |  n = 1298,t2
20080504082140,Cluster 3  |  n = 395,t2
20080504082143,Cluster 2  |  n = 1298,t2
20080504082153,Cluster 2  |  n = 1298,t2
20080504082159,Cluster 1  |  n = 1633,t2
20080504082165,Cluster 1  |  n = 1633,t2
20080504082175,Cluster 2  |  n = 1298,t2
20080504082202,Cluster 2  |  n = 1298,t2
20080504082224,Cluster 2  |  n = 1298,t2
20080504082228,Cluster 2  |  n = 1298,t2
20080504082234,Cluster 2  |  n = 1298,t2
20080504082238,Cluster 2  |  n = 1298,t2
20080504082242,Cluster 2  |  n = 1298,t2
20080504082246,Cluster 1  |  n = 1633,t2
20080504082248,Cluster 1  |  n = 1633,t2
20080504082253,Cluster 2  |  n = 1298,t2
20080504082256,Cluster 2  |  n = 1298,t2
20080504082265,Cluster 1  |  n = 1633,t2
20080504082273,Cluster 3  |  n = 395,t2
20080504082296,Cluster 2  |  n = 1298,t2
20080504082298,Cluster 1  |  n = 1633,t2
20080504082301,Cluster 1  |  n = 1633,t2
20080504082303,Cluster 1  |  n = 1633,t2
20080504082304,Cluster 3  |  n = 395,t2
20080504082308,Cluster 2  |  n = 1298,t2
20080504082309,Cluster 1  |  n = 1633,t2
20080504082327,Cluster 1  |  n = 1633,t2
20080504082328,Cluster 2  |  n = 1298,t2
20080504082333,Cluster 1  |  n = 1633,t2
20080504082334,Cluster 3  |  n = 395,t2
20080504082352,Cluster 2  |  n = 1298,t2
20080504082365,Cluster 1  |  n = 1633,t2
20080504082366,Cluster 3  |  n = 395,t2
20080504082367,Cluster 2  |  n = 1298,t2
20080504082368,Cluster 2  |  n = 1298,t2
20080504082370,Cluster 1  |  n = 1633,t2
20080504082376,Cluster 1  |  n = 1633,t2
20080504082377,Cluster 3  |  n = 395,t2
20080504082379,Cluster 1  |  n = 1633,t2
20080504082399,Cluster 1  |  n = 1633,t2
20080504082401,Cluster 1  |  n = 1633,t2
20080504082413,Cluster 1  |  n = 1633,t2
20080504082417,Cluster 1  |  n = 1633,t2
20080504082418,Cluster 1  |  n = 1633,t2
20080504082420,Cluster 3  |  n = 395,t2
20080504082439,Cluster 3  |  n = 395,t2
20080504082450,Cluster 1  |  n = 1633,t2
20080504082454,Cluster 1  |  n = 1633,t2
20080504082457,Cluster 2  |  n = 1298,t2
20080504082465,Cluster 3  |  n = 395,t2
20080504082472,Cluster 2  |  n = 1298,t2
20080504082478,Cluster 1  |  n = 1633,t2
20080504082482,Cluster 1  |  n = 1633,t2
20080504082488,Cluster 3  |  n = 395,t2
20080504082508,Cluster 3  |  n = 395,t2
20080505080658,Cluster 2  |  n = 1298,t2
20080505080668,Cluster 2  |  n = 1298,t2
20080505080727,Cluster 1  |  n = 1633,t2
20080505080759,Cluster 2  |  n = 1298,t2
20080505080799,Cluster 1  |  n = 1633,t2
20080505080803,Cluster 2  |  n = 1298,t2
20080505080835,Cluster 2  |  n = 1298,t2
20080505080870,Cluster 1  |  n = 1633,t2
20080505080875,Cluster 1  |  n = 1633,t2
20080505080991,Cluster 1  |  n = 1633,t2
20080505081080,Cluster 1  |  n = 1633,t2
20080505081101,Cluster 2  |  n = 1298,t2
20080505081130,Cluster 1  |  n = 1633,t2
20080505081150,Cluster 1  |  n = 1633,t2
20080505081190,Cluster 2  |  n = 1298,t2
20080505081217,Cluster 1  |  n = 1633,t2
20080505081314,Cluster 2  |  n = 1298,t2
20080505081318,Cluster 3  |  n = 395,t2
20080505081335,Cluster 2  |  n = 1298,t2
20080505081392,Cluster 2  |  n = 1298,t2
20080505081503,Cluster 2  |  n = 1298,t2
20080505081530,Cluster 2  |  n = 1298,t2
20080505081557,Cluster 1  |  n = 1633,t2
20080505081559,Cluster 1  |  n = 1633,t2
20080505081659,Cluster 3  |  n = 395,t2
20080505081675,Cluster 1  |  n = 1633,t2
20080505081680,Cluster 2  |  n = 1298,t2
20080505081687,Cluster 2  |  n = 1298,t2
20080505081701,Cluster 1  |  n = 1633,t2
20080505081882,Cluster 2  |  n = 1298,t2
20080505082021,Cluster 2  |  n = 1298,t2
20080505082042,Cluster 1  |  n = 1633,t2
20080505082049,Cluster 1  |  n = 1633,t2
20080505082066,Cluster 2  |  n = 1298,t2
20080505082138,Cluster 1  |  n = 1633,t2
20080505082153,Cluster 2  |  n = 1298,t2
20080505082176,Cluster 2  |  n = 1298,t2
20080505082329,Cluster 1  |  n = 1633,t2
20080505082335,Cluster 2  |  n = 1298,t2
20080505082380,Cluster 2  |  n = 1298,t2
20080505082412,Cluster 1  |  n = 1633,t2
20080505082436,Cluster 1  |  n = 1633,t2
20080604080511,Cluster 1  |  n = 1633,t2
20080604080582,Cluster 1  |  n = 1633,t2
20080604080589,Cluster 1  |  n = 1633,t2
20080604080644,Cluster 2  |  n = 1298,t2
20080604080673,Cluster 2  |  n = 1298,t2
20080604080866,Cluster 1  |  n = 1633,t2
20080604080869,Cluster 1  |  n = 1633,t2
20080604080917,Cluster 3  |  n = 395,t2
20080604080944,Cluster 1  |  n = 1633,t2
20080604080954,Cluster 1  |  n = 1633,t2
20080604080959,Cluster 1  |  n = 1633,t2
20080604081003,Cluster 1  |  n = 1633,t2
20080604081027,Cluster 2  |  n = 1298,t2
20080604081042,Cluster 1  |  n = 1633,t2
20080604081053,Cluster 2  |  n = 1298,t2
20080604081072,Cluster 1  |  n = 1633,t2
20080604081075,Cluster 1  |  n = 1633,t2
20080604081119,Cluster 1  |  n = 1633,t2
20080604081175,Cluster 2  |  n = 1298,t2
20080604081277,Cluster 2  |  n = 1298,t2
20080604081288,Cluster 3  |  n = 395,t2
20080604081298,Cluster 2  |  n = 1298,t2
20080604081329,Cluster 3  |  n = 395,t2
20080604081340,Cluster 1  |  n = 1633,t2
20080604081370,Cluster 1  |  n = 1633,t2
20080604081392,Cluster 2  |  n = 1298,t2
20080604081394,Cluster 1  |  n = 1633,t2
20080604081456,Cluster 1  |  n = 1633,t2
20080604081488,Cluster 1  |  n = 1633,t2
20080604081585,Cluster 1  |  n = 1633,t2
20080604081587,Cluster 1  |  n = 1633,t2
20080604081607,Cluster 1  |  n = 1633,t2
20080604081631,Cluster 2  |  n = 1298,t2
20080604081653,Cluster 1  |  n = 1633,t2
20080604081678,Cluster 3  |  n = 395,t2
20080604081687,Cluster 2  |  n = 1298,t2
20080604081692,Cluster 2  |  n = 1298,t2
20080604081735,Cluster 3  |  n = 395,t2
20080604081750,Cluster 1  |  n = 1633,t2
20080604081756,Cluster 2  |  n = 1298,t2
20080604081831,Cluster 1  |  n = 1633,t2
20080604081904,Cluster 1  |  n = 1633,t2
20080604081909,Cluster 1  |  n = 1633,t2
20080604082023,Cluster 2  |  n = 1298,t2
20080604082031,Cluster 1  |  n = 1633,t2
20080604082033,Cluster 1  |  n = 1633,t2
20080604082051,Cluster 2  |  n = 1298,t2
20080604082064,Cluster 1  |  n = 1633,t2
20080604082173,Cluster 1  |  n = 1633,t2
20080604082190,Cluster 3  |  n = 395,t2
20080604082205,Cluster 3  |  n = 395,t2
20080604082211,Cluster 3  |  n = 395,t2
20080604082237,Cluster 1  |  n = 1633,t2
20080604082240,Cluster 1  |  n = 1633,t2
20080604082263,Cluster 1  |  n = 1633,t2
20080604082392,Cluster 2  |  n = 1298,t2
20080604082415,Cluster 2  |  n = 1298,t2
20080604082501,Cluster 1  |  n = 1633,t2
20080604082514,Cluster 1  |  n = 1633,t2
20080605080006,Cluster 2  |  n = 1298,t2
20080605080008,Cluster 2  |  n = 1298,t2
20080605080010,Cluster 1  |  n = 1633,t2
20080605080018,Cluster 2  |  n = 1298,t2
20080605080034,Cluster 3  |  n = 395,t2
20080605080035,Cluster 2  |  n = 1298,t2
20080605080038,Cluster 2  |  n = 1298,t2
20080605080041,Cluster 1  |  n = 1633,t2
20080605080078,Cluster 1  |  n = 1633,t2
20080605080079,Cluster 1  |  n = 1633,t2
20080605080089,Cluster 1  |  n = 1633,t2
20080605080091,Cluster 3  |  n = 395,t2
20080605080093,Cluster 1  |  n = 1633,t2
20080605080098,Cluster 2  |  n = 1298,t2
20080605080139,Cluster 1  |  n = 1633,t2
20080605080150,Cluster 1  |  n = 1633,t2
20080605080164,Cluster 2  |  n = 1298,t2
20080605080500,Cluster 1  |  n = 1633,t2
20080605080502,Cluster 3  |  n = 395,t2
20080605080508,Cluster 2  |  n = 1298,t2
20080605080510,Cluster 1  |  n = 1633,t2
20080605080516,Cluster 2  |  n = 1298,t2
20080605080527,Cluster 2  |  n = 1298,t2
20080605080545,Cluster 1  |  n = 1633,t2
20080605080547,Cluster 2  |  n = 1298,t2
20080605080548,Cluster 1  |  n = 1633,t2
20080605080553,Cluster 1  |  n = 1633,t2
20080605080561,Cluster 2  |  n = 1298,t2
20080605080564,Cluster 1  |  n = 1633,t2
20080605080572,Cluster 1  |  n = 1633,t2
20080605080604,Cluster 2  |  n = 1298,t2
20080605080609,Cluster 2  |  n = 1298,t2
20080605080614,Cluster 2  |  n = 1298,t2
20080605080618,Cluster 2  |  n = 1298,t2
20080605080619,Cluster 2  |  n = 1298,t2
20080605080622,Cluster 2  |  n = 1298,t2
20080605080627,Cluster 2  |  n = 1298,t2
20080605080630,Cluster 3  |  n = 395,t2
20080605080633,Cluster 1  |  n = 1633,t2
20080605080644,Cluster 2  |  n = 1298,t2
20080605080645,Cluster 2  |  n = 1298,t2
20080605080648,Cluster 3  |  n = 395,t2
20080605080655,Cluster 1  |  n = 1633,t2
20080605080662,Cluster 2  |  n = 1298,t2
20080605080671,Cluster 1  |  n = 1633,t2
20080605080679,Cluster 1  |  n = 1633,t2
20080605080680,Cluster 2  |  n = 1298,t2
20080605080687,Cluster 2  |  n = 1298,t2
20080605080704,Cluster 2  |  n = 1298,t2
20080605080721,Cluster 1  |  n = 1633,t2
20080605080728,Cluster 2  |  n = 1298,t2
20080605080731,Cluster 1  |  n = 1633,t2
20080605080742,Cluster 2  |  n = 1298,t2
20080605080752,Cluster 1  |  n = 1633,t2
20080605080754,Cluster 1  |  n = 1633,t2
20080605080761,Cluster 2  |  n = 1298,t2
20080605080762,Cluster 1  |  n = 1633,t2
20080605080766,Cluster 1  |  n = 1633,t2
20080605080807,Cluster 1  |  n = 1633,t2
20080605080834,Cluster 1  |  n = 1633,t2
20080605080846,Cluster 1  |  n = 1633,t2
20080605080850,Cluster 2  |  n = 1298,t2
20080605080854,Cluster 1  |  n = 1633,t2
20080605080866,Cluster 2  |  n = 1298,t2
20080605080867,Cluster 1  |  n = 1633,t2
20080605080885,Cluster 2  |  n = 1298,t2
20080605080890,Cluster 1  |  n = 1633,t2
20080605080900,Cluster 3  |  n = 395,t2
20080605080916,Cluster 2  |  n = 1298,t2
20080605080934,Cluster 2  |  n = 1298,t2
20080605080964,Cluster 1  |  n = 1633,t2
20080605080981,Cluster 1  |  n = 1633,t2
20080605080993,Cluster 1  |  n = 1633,t2
20080605080996,Cluster 3  |  n = 395,t2
20080605081005,Cluster 1  |  n = 1633,t2
20080605081008,Cluster 2  |  n = 1298,t2
20080605081010,Cluster 1  |  n = 1633,t2
20080605081018,Cluster 1  |  n = 1633,t2
20080605081019,Cluster 1  |  n = 1633,t2
20080605081022,Cluster 1  |  n = 1633,t2
20080605081026,Cluster 2  |  n = 1298,t2
20080605081031,Cluster 1  |  n = 1633,t2
20080605081035,Cluster 2  |  n = 1298,t2
20080605081049,Cluster 2  |  n = 1298,t2
20080605081053,Cluster 1  |  n = 1633,t2
20080605081054,Cluster 2  |  n = 1298,t2
20080605081055,Cluster 2  |  n = 1298,t2
20080605081059,Cluster 2  |  n = 1298,t2
20080605081061,Cluster 3  |  n = 395,t2
20080605081085,Cluster 2  |  n = 1298,t2
20080605081091,Cluster 1  |  n = 1633,t2
20080605081106,Cluster 2  |  n = 1298,t2
20080605081117,Cluster 2  |  n = 1298,t2
20080605081125,Cluster 1  |  n = 1633,t2
20080605081126,Cluster 1  |  n = 1633,t2
20080605081128,Cluster 1  |  n = 1633,t2
20080605081132,Cluster 1  |  n = 1633,t2
20080605081140,Cluster 3  |  n = 395,t2
20080605081142,Cluster 3  |  n = 395,t2
20080605081160,Cluster 2  |  n = 1298,t2
20080605081165,Cluster 3  |  n = 395,t2
20080605081175,Cluster 1  |  n = 1633,t2
20080605081179,Cluster 1  |  n = 1633,t2
20080605081183,Cluster 1  |  n = 1633,t2
20080605081187,Cluster 2  |  n = 1298,t2
20080605081200,Cluster 2  |  n = 1298,t2
20080605081219,Cluster 1  |  n = 1633,t2
20080605081221,Cluster 2  |  n = 1298,t2
20080605081224,Cluster 1  |  n = 1633,t2
20080605081235,Cluster 3  |  n = 395,t2
20080605081243,Cluster 1  |  n = 1633,t2
20080605081246,Cluster 2  |  n = 1298,t2
20080605081248,Cluster 1  |  n = 1633,t2
20080605081261,Cluster 2  |  n = 1298,t2
20080605081280,Cluster 2  |  n = 1298,t2
20080605081287,Cluster 2  |  n = 1298,t2
20080605081292,Cluster 2  |  n = 1298,t2
20080605081293,Cluster 2  |  n = 1298,t2
20080605081308,Cluster 2  |  n = 1298,t2
20080605081343,Cluster 2  |  n = 1298,t2
20080605081347,Cluster 1  |  n = 1633,t2
20080605081350,Cluster 1  |  n = 1633,t2
20080605081374,Cluster 1  |  n = 1633,t2
20080605081375,Cluster 2  |  n = 1298,t2
20080605081382,Cluster 1  |  n = 1633,t2
20080605081386,Cluster 1  |  n = 1633,t2
20080605081387,Cluster 1  |  n = 1633,t2
20080605081395,Cluster 2  |  n = 1298,t2
20080605081398,Cluster 1  |  n = 1633,t2
20080605081403,Cluster 2  |  n = 1298,t2
20080605081405,Cluster 1  |  n = 1633,t2
20080605081407,Cluster 2  |  n = 1298,t2
20080605081409,Cluster 1  |  n = 1633,t2
20080605081410,Cluster 1  |  n = 1633,t2
20080605081415,Cluster 1  |  n = 1633,t2
20080605081421,Cluster 3  |  n = 395,t2
20080605081431,Cluster 2  |  n = 1298,t2
20080605081441,Cluster 2  |  n = 1298,t2
20080605081455,Cluster 1  |  n = 1633,t2
20080605081473,Cluster 1  |  n = 1633,t2
20080605081482,Cluster 2  |  n = 1298,t2
20080605081490,Cluster 2  |  n = 1298,t2
20080605081497,Cluster 1  |  n = 1633,t2
20080605081505,Cluster 1  |  n = 1633,t2
20080605081521,Cluster 2  |  n = 1298,t2
20080605081526,Cluster 2  |  n = 1298,t2
20080605081534,Cluster 3  |  n = 395,t2
20080605081538,Cluster 2  |  n = 1298,t2
20080605081549,Cluster 3  |  n = 395,t2
20080605081552,Cluster 2  |  n = 1298,t2
20080605081556,Cluster 1  |  n = 1633,t2
20080605081568,Cluster 1  |  n = 1633,t2
20080605081580,Cluster 1  |  n = 1633,t2
20080605081592,Cluster 3  |  n = 395,t2
20080605081596,Cluster 1  |  n = 1633,t2
20080605081603,Cluster 2  |  n = 1298,t2
20080605081604,Cluster 1  |  n = 1633,t2
20080605081605,Cluster 1  |  n = 1633,t2
20080605081609,Cluster 1  |  n = 1633,t2
20080605081616,Cluster 1  |  n = 1633,t2
20080605081619,Cluster 2  |  n = 1298,t2
20080605081621,Cluster 1  |  n = 1633,t2
20080605081627,Cluster 1  |  n = 1633,t2
20080605081632,Cluster 1  |  n = 1633,t2
20080605081634,Cluster 3  |  n = 395,t2
20080605081637,Cluster 2  |  n = 1298,t2
20080605081639,Cluster 1  |  n = 1633,t2
20080605081642,Cluster 1  |  n = 1633,t2
20080605081648,Cluster 1  |  n = 1633,t2
20080605081649,Cluster 3  |  n = 395,t2
20080605081681,Cluster 2  |  n = 1298,t2
20080605081683,Cluster 2  |  n = 1298,t2
20080605081686,Cluster 1  |  n = 1633,t2
20080605081688,Cluster 3  |  n = 395,t2
20080605081690,Cluster 2  |  n = 1298,t2
20080605081698,Cluster 1  |  n = 1633,t2
20080605081716,Cluster 2  |  n = 1298,t2
20080605081717,Cluster 2  |  n = 1298,t2
20080605081719,Cluster 1  |  n = 1633,t2
20080605081723,Cluster 1  |  n = 1633,t2
20080605081727,Cluster 2  |  n = 1298,t2
20080605081730,Cluster 1  |  n = 1633,t2
20080605081739,Cluster 2  |  n = 1298,t2
20080605081748,Cluster 2  |  n = 1298,t2
20080605081754,Cluster 1  |  n = 1633,t2
20080605081762,Cluster 1  |  n = 1633,t2
20080605081769,Cluster 1  |  n = 1633,t2
20080605081771,Cluster 1  |  n = 1633,t2
20080605081775,Cluster 2  |  n = 1298,t2
20080605081777,Cluster 1  |  n = 1633,t2
20080605081782,Cluster 3  |  n = 395,t2
20080605081785,Cluster 2  |  n = 1298,t2
20080605081790,Cluster 3  |  n = 395,t2
20080605081791,Cluster 1  |  n = 1633,t2
20080605081810,Cluster 1  |  n = 1633,t2
20080605081812,Cluster 1  |  n = 1633,t2
20080605081813,Cluster 1  |  n = 1633,t2
20080605081814,Cluster 1  |  n = 1633,t2
20080605081817,Cluster 1  |  n = 1633,t2
20080605081819,Cluster 2  |  n = 1298,t2
20080605081839,Cluster 1  |  n = 1633,t2
20080605081847,Cluster 1  |  n = 1633,t2
20080605081873,Cluster 1  |  n = 1633,t2
20080605081874,Cluster 2  |  n = 1298,t2
20080605081878,Cluster 3  |  n = 395,t2
20080605081885,Cluster 2  |  n = 1298,t2
20080605081893,Cluster 1  |  n = 1633,t2
20080605081894,Cluster 2  |  n = 1298,t2
20080605081900,Cluster 2  |  n = 1298,t2
20080605081903,Cluster 2  |  n = 1298,t2
20080605081906,Cluster 2  |  n = 1298,t2
20080605081912,Cluster 2  |  n = 1298,t2
20080605081916,Cluster 1  |  n = 1633,t2
20080605081921,Cluster 1  |  n = 1633,t2
20080605081937,Cluster 2  |  n = 1298,t2
20080605081938,Cluster 2  |  n = 1298,t2
20080605081940,Cluster 3  |  n = 395,t2
20080605081945,Cluster 2  |  n = 1298,t2
20080605081946,Cluster 3  |  n = 395,t2
20080605081954,Cluster 1  |  n = 1633,t2
20080605081967,Cluster 1  |  n = 1633,t2
20080605081970,Cluster 1  |  n = 1633,t2
20080605081979,Cluster 2  |  n = 1298,t2
20080605081983,Cluster 1  |  n = 1633,t2
20080605081996,Cluster 1  |  n = 1633,t2
20080605082010,Cluster 1  |  n = 1633,t2
20080605082016,Cluster 2  |  n = 1298,t2
20080605082018,Cluster 1  |  n = 1633,t2
20080605082030,Cluster 2  |  n = 1298,t2
20080605082031,Cluster 2  |  n = 1298,t2
20080605082033,Cluster 2  |  n = 1298,t2
20080605082034,Cluster 1  |  n = 1633,t2
20080605082044,Cluster 3  |  n = 395,t2
20080605082045,Cluster 2  |  n = 1298,t2
20080605082050,Cluster 1  |  n = 1633,t2
20080605082053,Cluster 2  |  n = 1298,t2
20080605082065,Cluster 2  |  n = 1298,t2
20080605082072,Cluster 2  |  n = 1298,t2
20080605082081,Cluster 1  |  n = 1633,t2
20080605082082,Cluster 1  |  n = 1633,t2
20080605082089,Cluster 1  |  n = 1633,t2
20080605082095,Cluster 1  |  n = 1633,t2
20080605082114,Cluster 2  |  n = 1298,t2
20080605082123,Cluster 1  |  n = 1633,t2
20080605082125,Cluster 1  |  n = 1633,t2
20080605082130,Cluster 1  |  n = 1633,t2
20080605082139,Cluster 1  |  n = 1633,t2
20080605082142,Cluster 2  |  n = 1298,t2
